"Match_Importance","Rank_Med","Rank_Opp","Log_Rank_Med","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Med","Pre_Med","Pre5_Med","Pre_Opp","Pre5_Opp","Odd_Med","Odd_Opp","Odd_Pred","Odd_Acc","Win"
90,8,30,2.07944154167984,3.40119738166216,0,1,0,0,0,50.3448275862069,52.6315789473684,33.3333333333333,0,0.8,0,0.6,1.53,2.37,1,1,1
90,8,29,2.07944154167984,3.36729582998647,0,1,0,0,0,48.036253776435,45.7746478873239,100,1,0.8,0,0.4,1.3,3.4,1,1,1
180,8,36,2.07944154167984,3.58351893845611,0,1,0,0,0,46.5,43.4782608695652,100,1,0.8,1,0.6,1.4,3,1,1,1
360,8,70,2.07944154167984,4.24849524204936,0,1,0,0,0,47.0588235294118,50,50,1,0.8,1,0.6,1.3,3.5,1,1,1
600,8,1,2.07944154167984,0,0,1,0,0,0,82.1538461538462,86.5546218487395,33.3333333333333,1,0.8,1,1,3.4,1.33,0,0,1
1000,8,19,2.07944154167984,2.94443897916644,0,1,0,0,0,58,59.7402597402597,50,1,1,1,0.8,1.4,3,1,1,1
90,5,88,1.6094379124341,4.47733681447821,1,1,0,0,0,0,28.5714285714286,50,1,1,0,0.4,1.02,19,1,1,1
90,5,84,1.6094379124341,4.43081679884331,1,1,0,0,0,33.3333333333333,0,50,1,1,0,0,1.02,19,1,1,1
180,5,61,1.6094379124341,4.11087386417331,1,1,0,0,0,56.9620253164557,52.1367521367521,0,1,1,1,0.6,1.3,3.5,1,1,1
360,5,118,1.6094379124341,4.77068462446567,1,1,0,0,0,80,57.1428571428571,50,1,1,1,0.6,1.12,6,1,1,1
720,5,24,1.6094379124341,3.17805383034795,1,1,0,0,0,72.1052631578947,66.7741935483871,100,1,1,1,0.8,2.1,1.72,0,0,1
1200,5,78,1.6094379124341,4.35670882668959,1,1,0,0,0,62.2222222222222,60.4651162790698,50,1,1,1,0.8,1.44,2.75,1,1,1
45,4,118,1.38629436111989,4.77068462446567,0,0,0,0,1,32.1739130434783,30.7692307692308,100,1,1,1,0.4,1.11,6.5,1,1,1
90,4,38,1.38629436111989,3.63758615972639,0,0,0,0,1,48.6238532110092,40,100,1,1,1,0.8,1.25,4,1,1,1
