"Match_Importance","Rank_Ruud","Rank_Opp","Log_Rank_Ruud","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Ruud","Pre_Ruud","Pre5_Ruud","Pre_Opp","Pre5_Opp","Odd_Ruud","Odd_Opp","Odd_Pred","Odd_Acc","Win"
180,25,3,3.2188758248682,1.09861228866811,1,0,0,1,0,75.2808988764045,74.2690058479532,50,1,0.8,1,1,5.5,1.14,0,1,0
45,25,101,3.2188758248682,4.61512051684126,0,0,0,1,0,53.8461538461538,54.1666666666667,50,0,0.6,1,0.6,1.36,3,1,0,0
90,27,43,3.29583686600433,3.76120011569356,0,0,0,0,1,50,56.25,50,0,0.4,0,0.6,4,1.22,0,1,0
90,27,34,3.29583686600433,3.52636052461616,0,0,0,0,1,54.2372881355932,58.3333333333333,50,0,0.4,1,1,3.25,1.33,0,1,0
45,27,69,3.29583686600433,4.23410650459726,0,1,0,0,0,49.1891891891892,47.0588235294118,50,0,0.2,1,0.4,1.72,2,1,0,0
90,28,53,3.3322045101752,3.97029191355212,1,1,0,0,0,40,51.2820512820513,100,0,0,1,0.6,1.72,2.1,1,1,1
180,28,85,3.3322045101752,4.44265125649032,1,1,0,0,0,38.7096774193548,34.4827586206897,100,1,0.2,1,0.4,1.33,3.4,1,1,1
90,25,112,3.2188758248682,4.71849887129509,0,1,0,0,0,41.6666666666667,20,100,1,0.4,0,0.2,1.25,4,1,1,1
90,25,154,3.2188758248682,5.03695260241363,0,1,0,0,0,40,50,50,1,0.6,1,0.4,1.36,3.2,1,1,1
45,26,91,3.25809653802148,4.51085950651685,0,1,0,0,0,52.6315789473684,42.8571428571429,0,1,0.8,1,0.4,1.53,2.5,1,1,1
90,26,133,3.25809653802148,4.89034912822175,0,1,0,0,0,50,50,50,1,1,1,0.4,1.44,2.75,1,0,0
90,27,322,3.29583686600433,5.77455154554441,0,0,0,1,0,0,0,50,0,0.8,0,0,1.16,5,1,1,1
90,27,9,3.29583686600433,2.19722457733622,0,0,0,1,0,54.5064377682403,58.8235294117647,0,1,0.8,0,0.6,2.5,1.53,0,0,1
180,27,12,3.29583686600433,2.484906649788,0,0,0,1,0,58.9189189189189,62.5,50,1,0.8,1,1,1.9,1.9,1,1,1
360,27,18,3.29583686600433,2.89037175789616,0,0,0,1,0,52.3255813953488,57.7160493827161,100,1,0.8,1,0.6,1.72,2.1,1,1,1
